#This file maps hg38's rsem gene IDs to gene symbols
#Michael, May 2016 (Revised)
#Gene RSEM ID	Gene Symbol	Biotype
AAK08482.1	vif_protein	HIV_Project
AAK08483.1	gag_polyprotein	HIV_Project
AAK08484.2	pol_polyprotein	HIV_Project
AAK08485.1	vpr_protein	HIV_Project
AAK08486.1	tat_protein	HIV_Project
AAK08487.1	rev_protein	HIV_Project
AAK08488.1	vpu_protein	HIV_Project
AAK08489.2	envelope_polyprotein	HIV_Project
AAK08490.1	nef_protein	HIV_Project
beta-lactamase	beta-lactamase	HIV_Project
cat	cat	HIV_Project
gene0	DDX11L1	transcribed_unprocessed_pseudogene
gene10000	CD86	protein_coding
gene10001	CASR	protein_coding
gene10003	CSTA	protein_coding
gene10004	CCDC58	protein_coding
gene10005	FAM162A	protein_coding
gene10006	WDR5B	protein_coding
gene10007	LOC102723582	N/A
gene10008	KPNA1	protein_coding
gene10009	LOC105374071	N/A
gene1000	ZC3H12A	protein_coding
gene10010	PARP9	protein_coding
gene10011	DTX3L	protein_coding
gene10012	PARP15	protein_coding
gene10014	EIF4BP8	processed_pseudogene
gene10015	PARP14	protein_coding
gene10016	HSPBAP1	protein_coding
gene10017	DIRC2	protein_coding
gene10018	LOC100129550	N/A
gene10019	SEMA5B	protein_coding
gene1001	MIR6732	miRNA
gene10020	LOC105374072	N/A
gene10021	PDIA5	protein_coding
gene10022	MIR7110	miRNA
gene10023	SEC22A	protein_coding
gene10024	LOC105374074	N/A
gene10025	LOC102723597	N/A
gene10026	ADCY5	protein_coding
gene10027	LOC105374073	N/A
gene10028	LOC102723611	N/A
gene10029	HACD2	protein_coding
gene1002	MEAF6	protein_coding
gene10030	MYLK-AS1	antisense
gene10031	MYLK	protein_coding
gene10032	MYLK-AS2	antisense
gene10033	LOC105369194	N/A
gene10034	LOC105374075	N/A
gene10035	CCDC14	protein_coding
gene10036	ROPN1	protein_coding
gene10037	KALRN	protein_coding
gene10038	MIR5002	miRNA
gene10039	RPL7P15	processed_pseudogene
gene1003	MIR5581	miRNA
gene10040	LOC105374077	N/A
gene10041	MIR6083	miRNA
gene10042	LOC105374076	N/A
gene10044	UMPS	protein_coding
gene10045	MIR544B	miRNA
gene10047	ITGB5	protein_coding
gene10048	LOC105374078	N/A
gene1004	LOC105378649	N/A
gene10050	MUC13	protein_coding
gene10051	HEG1	protein_coding
gene10053	SLC12A8	protein_coding
gene10054	MIR5092	miRNA
gene10055	LOC105374079	N/A
gene10056	ZNF148	protein_coding
gene10059	LOC105374080	N/A
gene1005	SNIP1	protein_coding
gene10060	LOC105374081	N/A
gene10061	SNX4	protein_coding
gene10062	OSBPL11	protein_coding
gene1006	FTH1P1	processed_pseudogene
gene10070	LOC105374312	N/A
gene10072	MIR548I1	miRNA
gene10073	RPS3AP14	processed_pseudogene
gene10075	LOC101927056	N/A
gene10077	LOC105374082	N/A
gene10078	LOC102723696	N/A
gene10079	FAM86JP	transcribed_unprocessed_pseudogene
gene1007	RPS27P9	N/A
gene10080	ALG1L	protein_coding
gene10082	ROPN1B	protein_coding
gene10083	SLC41A3	protein_coding
gene10084	LOC105374085	N/A
gene10085	LOC105374084	N/A
gene10086	ALDH1L1	protein_coding
gene10087	ALDH1L1-AS1	antisense
gene10088	LOC105374083	N/A
gene10089	ALDH1L1-AS2	antisense
gene1008	DNALI1	protein_coding
gene10090	LOC105374086	N/A
gene10091	LOC105374087	N/A
gene10092	LOC105374088	N/A
gene10093	KLF15	protein_coding
gene10094	CCDC37-AS1	antisense
gene10095	CCDC37	protein_coding
gene10096	LOC105374089	N/A
gene10097	ZXDC	protein_coding
gene10098	UROC1	protein_coding
gene10099	C3orf22	N/A
gene1009	GNL2	protein_coding
gene100	C1orf233	N/A
gene10100	CHST13	protein_coding
gene10101	LOC105374090	N/A
gene10103	TXNRD3NB	protein_coding
gene10104	TXNRD3	protein_coding
gene10105	LOC100419878	N/A
gene10106	NUP210P1	transcribed_processed_pseudogene
gene10107	LOC645852	N/A
gene10108	CHCHD6	protein_coding
gene1010	RSPO1	protein_coding
gene10110	LOC105374091	N/A
gene10111	PLXNA1	protein_coding
gene10112	LOC105374092	N/A
gene10113	C3orf56	N/A
gene10114	LOC101060159	N/A
gene10115	LOC105374093	N/A
gene10117	LOC101927123	N/A
gene10118	LOC105374094	N/A
gene10119	LINC01471	lincRNA
gene1011	C1orf109	N/A
gene10120	TPRA1	protein_coding
gene10121	MIR6825	miRNA
gene10122	MIR7976	miRNA
gene10123	MCM2	protein_coding
gene10124	PODXL2	protein_coding
gene10125	ABTB1	protein_coding
gene10126	MGLL	protein_coding
gene10127	LOC105374095	N/A
gene10128	LOC105374096	N/A
gene10129	KBTBD12	protein_coding
gene1012	CDCA8	protein_coding
gene10131	LOC102723759	N/A
gene10132	SEC61A1	protein_coding
gene10133	RUVBL1	protein_coding
gene10134	RUVBL1-AS1	antisense
gene10135	EEFSEC	protein_coding
gene10136	LOC105374099	N/A
gene10137	LOC105374098	N/A
gene10138	LOC105374097	N/A
