#This file maps mm10's rsem gene IDs to gene symbols
#Allon, July 2015
#Gene RSEM ID	Gene Sybmol	Biotype
gene0	Xkr4	protein_coding
gene1	LOC102640625	N/A
gene10	LOC102640704	N/A
gene100	Xkr9	protein_coding
gene1000	LOC102638355	N/A
gene10000	LOC102634683	N/A
gene10001	LOC102634599	N/A
gene10002	Eif4g3	protein_coding
gene10003	LOC102634927	N/A
gene10004	1700095J12Rik	antisense
gene10005	LOC102634789	N/A
gene10006	Mir6399	miRNA
gene10007	Hp1bp3	protein_coding
gene10008	Sh2d5	protein_coding
gene10009	Kif17	protein_coding
gene1001	Gm2666	processed_pseudogene
gene10010	Ddost	protein_coding
gene10011	Pink1	protein_coding
gene10012	Mir7019	miRNA
gene10013	Cda	protein_coding
gene10014	Fam43b	protein_coding
gene10015	Rpl38-ps1	processed_pseudogene
gene10016	Mul1	protein_coding
gene10017	Camk2n1	protein_coding
gene10018	LOC102635131	N/A
gene10019	Vwa5b1	protein_coding
gene1002	LOC102633728	N/A
gene10020	LOC102635281	N/A
gene10021	LOC102635431	N/A
gene10022	Ubxn10	protein_coding
gene10023	Pla2g2c	protein_coding
gene10024	Pla2g2f	protein_coding
gene10025	LOC102635577	N/A
gene10026	Pla2g2d	protein_coding
gene10027	Pla2g5	protein_coding
gene10028	Pla2g2a	polymorphic_pseudogene
gene10029	LOC102635643	N/A
gene1003	Gm2427	unprocessed_pseudogene
gene10030	Pla2g2e	protein_coding
gene10031	Otud3	protein_coding
gene10033	LOC102635752	N/A
gene10034	LOC102635817	N/A
gene10035	Rnf186	protein_coding
gene10036	Tmco4	protein_coding
gene10037	LOC102636025	N/A
gene10038	LOC102635914	N/A
gene10039	Htr6	protein_coding
gene1004	LOC101055758	N/A
gene10040	Nbl1	protein_coding
gene10041	Minos1	protein_coding
gene10042	LOC102636159	N/A
gene10044	Gm16287	antisense
gene10045	Capzb	protein_coding
gene10046	Pqlc2	protein_coding
gene10047	Akr7a5	protein_coding
gene10048	Ccnd3-ps	processed_pseudogene
gene10049	Mrto4	protein_coding
gene1005	Sp110	protein_coding
gene10050	Emc1	protein_coding
gene10051	Ubr4	protein_coding
gene10052	n-Tv1	N/A
gene10053	Iffo2	protein_coding
gene10054	Aldh4a1	protein_coding
gene10055	Mir7020	miRNA
gene10056	Tas1r2	protein_coding
gene10057	Pax7	protein_coding
gene10058	LOC102636311	N/A
gene10059	LOC102636380	N/A
gene1006	LOC102634528	N/A
gene10060	4933427I22Rik	lincRNA
gene10061	Klhdc7a	protein_coding
gene10062	Mir2139	miRNA
gene10063	Igsf21	protein_coding
gene10064	LOC102636673	N/A
gene10065	LOC102636571	N/A
gene10066	LOC102636490	N/A
gene10067	LOC102636852	N/A
gene10068	LOC102636971	N/A
gene10069	LOC102636775	N/A
gene1007	Sp140	protein_coding
gene10070	LOC102637201	N/A
gene10071	LOC102637278	N/A
gene10072	LOC102637389	N/A
gene10073	Arhgef10l	protein_coding
gene10074	LOC102637546	N/A
gene10075	Rcc2	protein_coding
gene10076	Padi6	protein_coding
gene10077	Padi4	protein_coding
gene10078	Padi3	protein_coding
gene10079	Gm13032	processed_transcript
gene1008	LOC102634459	N/A
gene10080	Padi1	protein_coding
gene10081	4930515B02Rik	lincRNA
gene10082	Padi2	protein_coding
gene10083	LOC102637611	N/A
gene10084	Gm13031	antisense
gene10085	LOC102637683	N/A
gene10086	Sdhb	protein_coding
gene10087	Atp13a2	protein_coding
gene10088	Mfap2	protein_coding
gene10089	Crocc	protein_coding
gene1009	Sp100	protein_coding
gene10090	Necap2	protein_coding
gene10091	Gm13047	processed_pseudogene
gene10092	Spata21	protein_coding
gene10093	Szrd1	protein_coding
gene10094	Fbxo42	protein_coding
gene10095	Rsg1	protein_coding
gene10096	LOC102637755	N/A
gene10097	Arhgef19	protein_coding
gene10098	Gm13056	lincRNA
gene10099	Epha2	protein_coding
gene1010	A630001G21Rik	protein_coding
gene10100	LOC102637915	N/A
gene10101	Fam131c	protein_coding
gene10102	Clcnka	protein_coding
gene10103	LOC102638025	N/A
gene10104	Clcnkb	protein_coding
gene10105	Hspb7	protein_coding
gene10106	Gm694	protein_coding
gene10107	Zbtb17	protein_coding
gene10108	Spen	protein_coding
gene10109	Gm4123	N/A
gene1011	Mir8096	miRNA
gene10110	B330016D10Rik	pseudogene
gene10111	Fblim1	protein_coding
gene10112	Tmem82	protein_coding
gene10113	AI507597	antisense
gene10114	Slc25a34	protein_coding
gene10115	Plekhm2	protein_coding
gene10116	LOC102638182	N/A
gene10117	Ddi2	protein_coding
gene10118	Rsc1a1	protein_coding
gene10119	LOC102638257	N/A
gene1012	9930111H07Rik	lincRNA
gene10120	Agmat	protein_coding
gene10121	Dnajc16	protein_coding
gene10122	Casp9	protein_coding
gene10123	Cela2a	protein_coding
gene10124	Ctrc	protein_coding
gene10125	Ctrcos	antisense
gene10126	LOC102638481	N/A
gene10127	Efhd2	protein_coding
gene10128	LOC102638933	N/A
gene10129	Fhad1	protein_coding
gene1013	Cab39	protein_coding
gene10130	LOC102638820	N/A
gene10131	Fhad1os1	antisense
gene10132	4930455G09Rik	antisense
gene10133	Tmem51	protein_coding
gene10134	Tmem51os1	processed_transcript
gene10135	Kazn	protein_coding
gene10136	LOC102639222	N/A
gene10137	LOC102639151	N/A
gene10138	LOC102639288	N/A
gene10139	LOC102639364	N/A
gene1014	Itm2c	protein_coding
gene10140	LOC102639438	N/A
gene10141	6330411D24Rik	N/A
gene10142	Prdm2	protein_coding
gene10143	Mir7021	N/A
gene10144	LOC102639621	N/A
gene10145	Gm13039	processed_pseudogene
gene10147	Pdpn	protein_coding
gene10148	Lrrc38	protein_coding
gene10149	Anp32b-ps1	processed_pseudogene
gene1015	LOC102634803	N/A
gene10150	Pramel1	protein_coding
gene10151	Pramef8	protein_coding
gene10152	Oog4	protein_coding
gene10153	Gm13042	processed_pseudogene
gene10154	Gm13041	unprocessed_pseudogene
gene10155	Gm13043	protein_coding
gene10156	Gm13040	protein_coding
gene10157	Gm13057	protein_coding
gene10158	BC080695	protein_coding
gene10159	Gm13080	processed_pseudogene
gene1016	LOC102634616	N/A
gene10160	LOC100044633	N/A
gene10161	Gm13083	protein_coding
gene10162	Gm13088	protein_coding
gene10163	Gm13082	processed_pseudogene
gene10164	Gm13089	protein_coding
gene10165	Gm13078	protein_coding
gene10166	Gm13023	protein_coding
gene10167	Gm13084	protein_coding
gene10168	Gm13103	protein_coding
gene10169	Pramef6	protein_coding
gene1017	4933407L21Rik	protein_coding
gene10170	Gm13100	unprocessed_pseudogene
gene10171	Pramef25	protein_coding
gene10172	Gm13101	protein_coding
gene10173	Pramef17	protein_coding
gene10176	Pramel4	protein_coding
gene10177	Gm13102	protein_coding
gene10178	Oog3	protein_coding
gene10179	Oog2	protein_coding
gene1018	Gpr55	protein_coding
gene10180	C87977	protein_coding
gene10182	Pramel5	protein_coding
gene10185	Gm13128	protein_coding
gene10186	Gm13119	protein_coding
gene10187	Gm13125	protein_coding
gene10188	Pramef12	protein_coding
gene10189	1700012P22Rik	protein_coding
gene10190	Aadacl3	protein_coding
gene10192	9430007A20Rik	protein_coding
gene10194	Gm13126	processed_pseudogene
gene10195	Gm13124	protein_coding
gene10196	Gm13127	processed_pseudogene
gene10197	Gm13177	protein_coding
gene10198	Gm436	protein_coding
gene10199	Gm13178	protein_coding
gene102	Gm5523	processed_pseudogene
gene1020	Spata3	protein_coding
gene10200	Gm438	protein_coding
gene10202	Gm9692	N/A
gene10203	LOC102640428	N/A
gene10204	Dhrs3	protein_coding
gene10205	LOC102640189	N/A
gene10206	Vps13d	protein_coding
gene10207	Tnfrsf1b	protein_coding
gene10208	LOC102640078	N/A
gene10209	Tnfrsf8	protein_coding
gene1021	2810459M11Rik	protein_coding
gene10211	LOC102634244	N/A
gene10213	Smarca5-ps	transcribed_processed_pseudogene
gene10214	LOC102634135	N/A
gene10215	LOC101056073	N/A
gene10217	LOC102633907	N/A
gene10218	Gm13226	processed_pseudogene
gene10219	Gm13212	protein_coding
gene1022	Psmd1	protein_coding
gene10220	Gm13234	processed_pseudogene
gene10222	Gm13249	processed_pseudogene
gene10223	Gm13242	protein_coding
gene10225	LOC102633440	N/A
gene10227	Gm13232	processed_pseudogene
gene1023	Htr2b	protein_coding
gene10230	Znf41-ps	unprocessed_pseudogene
gene10231	Gm13238	processed_pseudogene
gene10232	LOC102633201	N/A
gene10234	Gm13034	processed_pseudogene
gene10235	LOC102637947	N/A
gene10236	Gm13051	protein_coding
gene10238	Zfp600	protein_coding
gene1024	Armc9	protein_coding
gene10240	Gm13167	processed_pseudogene
gene10243	Gm13251	protein_coding
gene10244	Gm13241	processed_pseudogene
gene10245	Gm13247	protein_coding
gene10246	LOC102632968	N/A
